season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,Jamison Crowder,WR,BUF,6.871818181818182,3.057274448946024,9.14153846153846,10.639212175470007,6,13,46.15384615384615,60,0,5.308333333333336,4.7115331597683126,0.5968001735650237,00-0031941,Jamison,Crowder,80,J.Crowder
2022,REG,0,Deebo Samuel,WR,SF,6.860499999999999,4.643707879823773,2.723928571428572,10.19338973310346,18,28,64.28571428571429,246,1,11.232222222222223,6.57469234326628,4.657529878955943,00-0035719,Tyshun,Samuel,19,D.Samuel
2022,REG,0,Sterling Shepard,WR,NYG,6.859565217391304,2.6560642594208077,9.68125,34.47482825645059,13,24,54.166666666666664,154,1,4.07,4.5177415204690385,-0.44774152046903826,00-0032385,Sterling,Shepard,3,S.Shepard
2022,REG,0,Jonnu Smith,TE,NE,6.85625,3.5655556575748553,3.7227272727272718,3.8672207007271684,7,11,63.63636363636363,58,0,7.581428571428572,5.9156131319314955,1.6658154394970763,00-0033858,Jonnu,Smith,81,J.Smith
2022,REG,0,Marquise Brown,WR,ARI,6.855681818181816,3.208324563314061,9.770666666666669,43.694906832298145,30,45,66.66666666666666,339,2,3.7103333333333333,4.004284873926013,-0.29395154059267936,00-0035662,Marquise,Brown,2,M.Brown
2022,REG,0,Darnell Mooney,WR,CHI,6.779333333333333,3.33823831053973,15.051874999999999,40.39822860401919,8,16,50,121,0,2.6225000000000005,3.1622912358052986,-0.5397912358052981,00-0036309,Darnell,Mooney,11,D.Mooney
2022,REG,0,Christian Kirk,WR,JAX,6.699310344827586,2.9407275143621208,8.885,33.670182530158534,20,36,55.55555555555556,327,3,6.5,6.047278323856151,0.45272167614384884,00-0034775,Christian,Kirk,13,C.Kirk
2022,REG,0,CeeDee Lamb,WR,DAL,6.695121951219512,2.84954568413243,11.052857142857144,44.25441857804726,23,42,54.761904761904766,288,2,4.53391304347826,4.349660396361162,0.18425264711709843,00-0036358,Cedarian,Lamb,88,C.Lamb
2022,REG,0,Pat Freiermuth,TE,PIT,6.688333333333334,2.571926577690386,7.343666666666667,16.88522705499138,18,30,60,223,1,4.941111111111111,3.9804548624086187,0.9606562487024921,00-0036894,Pat,Freiermuth,88,P.Freiermuth
2022,REG,0,Dalton Schultz,TE,DAL,6.606428571428572,2.3005932991210996,4.694375000000001,7.16028904268909,9,16,56.25,80,0,2.7144444444444438,3.0766216517115104,-0.3621772072670666,00-0034383,Dalton,Schultz,86,D.Schultz
2022,REG,0,Richie James,WR,NYG,6.588888888888889,2.613066727779878,8.904,26.422541062658578,15,20,75,155,0,2.2206666666666677,3.7704267059808987,-1.549760039314231,00-0034286,Richard,James,80,R.James
2022,REG,0,Kyle Pitts,TE,ATL,6.55625,2.0822371925896164,14.57772727272727,31.904458725453118,10,22,45.45454545454545,150,0,5.503,5.16660085625532,0.3363991437446803,00-0036970,Kyle,Pitts,8,K.Pitts
2022,REG,0,Harrison Bryant,TE,CLE,6.534166666666667,3.706214387683634,7.993571428571428,12.22031732858687,9,14,64.28571428571429,81,0,3.4511111111111115,4.393392690330251,-0.9422815792191397,00-0036232,Harrison,Bryant,88,H.Bryant
2022,REG,0,DeAndre Carter,WR,LAC,6.490714285714286,2.8719285881378,11.489285714285714,14.654033617273269,11,14,78.57142857142857,166,1,4.721818181818182,4.64552350887291,0.07629467294527181,00-0031763,DeAndre,Carter,1,D.Carter
2022,REG,0,Ashton Dulin,WR,IND,6.488823529411765,2.173894911575463,12.299999999999997,20.57260920897284,11,17,64.70588235294117,150,0,3.1700000000000004,2.6251499630756143,0.544850036924386,00-0035021,Ashton,Dulin,16,A.Dulin
